Date,ca,fr,ge,it,jp,uk,us
2004/9/8,-0.462437,0.286621,0.248171,0.306387,0.085265,0.481168,-0.441221
2004/9/9,0.637535,-0.286459,-0.463108,-0.265734,-1.458864,-0.464829,0.196858
2004/9/10,-0.263738,1.773937,1.979914,1.370980,-0.181919,1.120683,0.481293
2004/9/13,0.735445,0.869795,1.293486,0.394163,0.413606,0.046898,0.199604
2004/9/14,0.328773,-0.059453,0.122133,0.070914,0.750512,-0.056144,0.197693
2004/9/15,-1.056981,-1.560636,-1.244016,-1.209664,-1.735515,-1.201431,-0.720602
2004/9/16,1.050730,-0.130578,0.510783,0.023831,-0.103420,0.890172,0.302790
2004/9/17,-0.521928,1.040041,0.819211,0.883481,-0.822790,0.784235,0.426892
2004/9/20,0.533294,-0.673797,-0.385370,-0.305015,0.190821,-0.615082,-0.522491
2004/9/21,2.042066,1.560370,1.263731,1.505537,-0.208975,1.119185,0.644140
2004/9/22,-0.166943,-1.124786,-1.254626,-0.424145,-0.683880,-0.355517,-1.382734
2004/9/23,0.323158,-0.540762,-0.435975,0.266316,0.275964,-0.229991,-0.487841
2004/9/24,0.188823,0.272499,-0.100636,0.039112,-1.436863,0.444689,0.149745
2004/9/27,-1.030858,-0.175064,-0.711683,-0.219124,-0.989599,-0.526548,-0.600040
2004/9/28,1.256644,0.446903,0.335327,0.666465,-0.552828,0.768231,0.563225
2004/9/29,0.570226,0.493639,0.947576,0.306802,0.348198,-0.209161,0.441359
2004/9/30,0.853491,-0.259715,0.240757,0.045634,1.919580,0.158790,-0.027953
2004/10/1,1.250563,2.090291,2.270729,1.646399,1.115299,1.143393,1.519975
2004/10/4,-0.268016,-0.038985,-0.093016,-0.484761,1.419031,-0.172056,0.335608
2004/10/5,0.836849,0.402397,0.717791,0.803684,0.055788,0.418899,-0.078600
2004/10/6,1.141510,-0.213051,0.045662,-0.147953,0.526861,-0.210087,0.649318
2004/10/7,-0.510795,-0.244044,-0.345036,0.129770,-0.489791,-0.027994,-1.013128
2004/10/8,0.366257,0.513554,0.388147,0.830173,1.271184,0.675951,-0.733898
2004/10/11,-0.323449,-0.555063,-0.241104,-0.223069,0.479533,-0.203481,0.209178
2004/10/12,-0.691103,-1.543115,-2.044626,-1.226824,-1.727740,-1.238872,-0.218022
2004/10/13,-1.153160,-0.290989,0.133367,-0.120694,-0.409426,-0.207883,-0.712184
2004/10/14,1.318866,0.297464,0.131320,0.788497,-0.835592,0.232639,-0.925501
2004/10/15,0.291754,0.875849,0.278905,0.645315,0.021903,0.423639,0.415601
2004/10/18,-0.143206,-0.002583,0.070115,0.134165,-0.521581,-0.230792,0.538248
2004/10/19,-0.870035,1.049198,1.200365,0.677804,1.319786,0.859059,-0.947565
2004/10/20,1.657633,-0.215232,-0.541383,0.110482,-1.082362,-0.348264,0.043587
2004/10/21,0.530218,0.643463,0.527882,0.519672,-0.040984,0.738830,0.261992
2004/10/22,-0.301141,0.191226,0.219911,0.430968,0.454288,-0.025347,-0.999339
2004/10/25,0.922730,-0.993386,-0.937914,-0.016093,-0.640767,-0.443382,-0.117266
2004/10/26,0.864636,0.258772,0.207043,0.137755,-0.050542,0.299027,1.432973
2004/10/27,-0.144854,1.509707,1.657731,1.051475,0.408697,0.983813,1.304690
2004/10/28,0.048273,0.873216,0.425193,0.353868,1.735714,-0.036213,0.176119
2004/10/29,1.192640,-0.532696,-0.089023,-0.409201,-0.521431,-0.297614,0.250144
2004/11/1,-0.455835,0.918014,1.454799,1.181598,-0.542618,1.105908,0.033041
2004/11/2,-0.217989,0.418620,0.270880,0.080420,1.466045,0.688084,-0.018785
2004/11/3,1.063418,0.952685,0.872086,0.908586,0.084780,1.116706,1.133587
